price,year,mileage,location,tax,seller_type,model
"Rp19,800,000",2021,"15,000 km",Kota Depok,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp24,800,000",2022,"15,000 km",Kota Tangerang,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp20,000,000",2021,"15,000 km",Kota Tangerang,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp23,500,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,400,000",2023,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp19,900,000",2021,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,500,000",2019,"15,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,800,000",2022,"30,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp18,600,000",2017,"30,000 km",Kota Malang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp16,300,000",2017,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,600,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,100,000",2023,"7,500 km",Tengkerang Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,000,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,000,000",2021,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,700,000",2022,"15,000 km",Kota Malang,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp15,800,000",2018,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp22,600,000",2023,"7,500 km",Padang Bulan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp24,500,000",2024,"7,500 km",Kota Tangerang,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,500,000",2023,"15,000 km",Kota Tangerang,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,100,000",2022,"15,000 km",Padang Bulan,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp20,800,000",2023,"30,000 km",Kota Tangerang,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,100,000",2021,"15,000 km",Puji Mulyo,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp22,300,000",2021,"15,000 km",Puji Mulyo,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,300,000",2021,"15,000 km",Puji Mulyo,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp19,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp12,900,000",2015,"30,000 km",Kota Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,900,000",2022,"30,000 km",Kota Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp12,900,000",2015,"30,000 km",Kota Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,900,000",2019,"7,500 km",Bubutan,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,200,000",2023,"7,500 km",Kendangsari,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp20,555,555",2021,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,100,000",2022,"15,000 km",Telaga Sari,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,400,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp17,200,000",2017,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,300,000",2021,"15,000 km",Kampung Tengah,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,300,000",2021,"15,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,500,000",2019,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,500,000",2018,"30,000 km",Gading,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp15,900,000",2017,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,500,000",2021,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp18,500,000",2019,"30,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp12,400,000",2015,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,800,000",2023,"15,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,300,000",2021,"15,000 km",Kampung Tengah,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp23,600,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp24,100,000",2024,"2,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,400,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,500,000",2020,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,900,000",2018,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,450,000",2022,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,000,000",2021,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,450,000",2023,"15,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,500,000",2020,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,900,000",2022,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125ESP CBS ISS
"Rp19,500,000",2022,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,400,000",2023,"2,500 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125ESP CBS ISS
